STATION,NAME,DATE,TMAX
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-07,46
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-08,54
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-09,65
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-10,57
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-11,49
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-12,58
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-13,50
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-14,48
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-15,56
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-16,51
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-17,51
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-18,65
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-19,50
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-20,48
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-21,56
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-22,52
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-23,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-24,64
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-25,76
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-26,63
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-27,70
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-28,72
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-29,58
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-30,68
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-10-31,62
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-01,44
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-02,42
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-03,45
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-04,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-05,35
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-06,31
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-07,38
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-08,45
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-09,58
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-10,61
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-11,68
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-12,72
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-13,69
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-14,57
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-15,46
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-16,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-17,54
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-18,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-19,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-20,37
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-21,40
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-22,49
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-23,55
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-24,55
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-25,22
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-26,22
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-27,34
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-28,41
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-29,55
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-11-30,43
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-01,34
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-02,33
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-03,47
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-04,58
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-05,39
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-06,45
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-07,51
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-08,58
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-09,60
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-10,45
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-11,45
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-12,34
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-13,36
